9.35, 9.49, 39, 113
11, 10, 105, 222
12, 10, 234, 214
13, 10, 48.98, 83.66
14, 10, 49.48, 83.61
15, 10, 50, 84
16, 10, 150, 177
17, 10, 34.7, 105.6
18, 10, 97, 115
19, 10, 240, 216
20, 10, 57, 84
21, 10, 92, 182
22, 10, 21, 10
23, 10, 22, 10
23.04, 9.07, 24, 10
25, 10, 24, 10
25.36, 9.09, 26, 10
26.1, 9.08, 27, 10
28, 10, 42, 100
29, 10, 206, 87
30, 10, 31.42, 166.65
31, 10, 34, 120
32, 10, 32, 10
33, 10, 207, 86
34, 10, 211.23, 87.81
35, 10, 210.8, 87.77
36, 10, 119, 244
37, 10, 213, 89
38, 10, 61, 130
39, 10, 92, 147
40, 10, 214.92, 69.88
41, 10, 74, 102
41.19, 9.09, 43, 10
43, 10, 16, 52
44, 10, 26, 91
44.7, 9.08, 47, 10
45.92, 9.07, 48, 10
46.77, 9.07, 49, 10
48, 10, 139, 36
49, 10, 89, 241
50, 10, 89, 241
50.9, 9.07, 53, 10
51.85, 9.09, 54, 10
53, 10, 122, 47
54, 10, 214, 234
55, 10, 24, 208
56, 10, 36, 16
56.38, 9.09, 58, 10
58, 10, 244, 136
58.97, 9.07, 61, 10
59.48, 9.07, 61, 10
61, 10, 128, 133
62, 10, 128, 133
63, 10, 106, 166
64, 10, 133, 132
65, 10, 133, 132
65.77, 9.09, 68, 10
66.89, 9.11, 69, 10
67.9, 9.12, 70, 10
68.69, 9.1, 71, 10
69.2, 9.1, 71, 10
71, 10, 119, 164
71.7, 9.01, 99, 63
72.42, 9.09, 74, 10
73.7, 9.27, 69, 144
77, 10, 215.35, 138.07
77.91, 9.11, 80, 10
78.41, 9.37, 151, 62
80, 10, 151, 62
81, 10, 117, 161
82, 10, 207, 235
82.33, 9.03, 140, 69
84, 10, 86, 10
84.5, 9.08, 86, 10
86, 10, 88, 10
86.61, 9.1, 88, 10
88, 10, 90, 10
89, 10, 91, 10
90, 10, 92, 10
90.77, 9.1, 92, 10
91.92, 9.1, 93, 10
93, 10, 96, 10
94, 10, 96, 10
96, 10, 98, 10
97, 10, 99, 10
98, 10, 100, 10
99, 10, 101, 10
100, 10, 103, 10
101, 10, 103, 10
102, 10, 104, 10
103, 10, 105, 10
104, 10, 106, 10
105, 10, 107, 10
106, 10, 108, 10
107, 10, 109, 10
108, 10, 110, 10
109, 10, 111, 10
110, 10, 113, 10
111, 10, 113, 10
112, 10, 114, 10
113, 10, 115, 10
114, 10, 116, 10
115, 10, 118, 10
116, 10, 119, 11
117, 10, 120, 10
118, 10, 120, 10
119, 10, 122, 10
120, 10, 123, 10
121, 10, 123, 10
122, 10, 124, 10
123, 10, 126, 10
124, 10, 126, 11
125, 10, 128, 10
126, 10, 129, 10
127, 10, 131, 10
128, 10, 131, 10
129, 10, 132, 10
130, 10, 133, 10
131, 10, 134, 10
132, 10, 135, 10
133, 10, 136, 10
134, 10, 137, 10
135, 10, 138, 10
136, 10, 139, 10
137, 10, 140, 10
138, 10, 141, 10
139, 10, 142, 10
140, 10, 143, 10
141, 10, 144, 10
142, 10, 146, 10
143, 10, 147, 10
144, 10, 148, 11
145, 10, 149, 10
146, 10, 172, 75
147, 10, 172.6, 74.59
148, 10, 181.06, 33.59
149, 10, 153, 10
150, 10, 154, 10
